Item Id,Cert Number,Stock Num,Shape,Carat,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales,Measurements,Ratio,Table,Depth,Key To Symbol,Cert Comments,BIC,BIS,WIS,WIC,OT,OC,OP,Crown Angle,Crown Height,Pav Angle,Pav Depth,Carat Range,Location,Broad Count,Turn,Overhang,Needs,Needs/Surplus,Grouped Needs
14767818,1518478716,41082-35,Round,1.83,D,IF,EX,EX,EX,None,GIA,None,None,21000,38430,-33,14070,25749,60,1,7,1,0,0,7.78 x 7.75 x 4.86,1,58,62.5,,Minor details of polish are not shown.,None,None,None,None,None,None,None,36,15.5,40.8,43,1.80-1.99,India,35,0.9,534.6,-0.5,,2.5
14767721,2517484812,41101-1,Round,1.8,F,VS1,EX,EX,EX,Medium,GIA,None,None,11400,20520,-38,7068,12723,60,1,8,1,0,0,7.76 x 7.71 x 4.85,1.01,56,62.6,"cloud, needle",Pinpoints are not shown.,V Light,V Light,V Light,Light,None,None,None,36.5,16.5,40.6,42.5,1.80-1.99,India,493,0,59.9,-1,,0
12565099,1498154866,31084-41,Round,1.7,D,IF,EX,EX,EX,Faint,GIA,None,None,21000,35700,-53,9870,16779,371,1,4,1,0,0,7.65 x 7.59 x 4.77,1.01,59,62.5,,Minor details of polish are not shown.,None,None,None,None,None,None,None,33.5,13.5,41.8,44.5,1.70-1.79,India,29,0,370.9,-1,,2.5
12132384,6481685508,31044-58,Round,1.7,D,VVS1,EX,EX,EX,None,GIA,None,None,18700,31790,-42,10846,18439,427,2,12,1,2,2,7.66 x 7.62 x 4.69,1.01,62,61.3,pinpoint,-,None,None,V Light,None,None,None,None,33.5,12.5,41.6,44.5,1.70-1.79,India,54,1.9,89.4,1,needs,2.5
14812715,6515562264,41101-17,Round,1.7,E,VVS2,EX,EX,EX,None,GIA,None,None,14300,24310,-33,9581,16288,53,2,2,1,0,0,7.62 x 7.58 x 4.76,1.01,56,62.6,"pinpoint, cloud",Additional pinpoints are not shown.,V Light,None,None,Light,None,None,None,36.5,16.5,40.6,42.5,1.70-1.79,India,131,0,53.7,-1,,2.5
14900276,6233523875,41037-237,Round,1.76,E,VS1,EX,EX,EX,None,GIA,None,None,12200,21472,-32,8296,14601,40,3,6,2,1,1,7.71 x 7.66 x 4.79,1.01,58,62.4,"cloud, feather, pinpoint",Additional pinpoints are not shown.,V Light,None,Light,Light,None,None,None,36,15.5,40.8,43,1.70-1.79,India,199,0.8,666.8,-1.5,,1
14968391,7511622759,41102-20,Round,1.7,E,VS1,EX,EX,EX,Strong,GIA,None,None,12200,20740,-48,6344,10785,32,2,11,2,1,1,7.59 x 7.54 x 4.75,1.01,56,62.7,"crystal, feather, pinpoint, cloud, natural",Additional pinpoints are not shown. Surface graining is not shown.,V Light,V Light,Light,Light,None,None,V Light,35.5,16,40.6,42.5,1.70-1.79,India,250,0.8,666.8,-1.5,,1
12840683,6492388870,31098-184,Round,1.71,E,VS2,EX,EX,EX,None,GIA,None,None,11000,18810,-40,6600,11286,343,1,9,3,1,1,7.75 x 7.71 x 4.69,1.01,61,60.6,"crystal, cloud, needle",Additional clouds are not shown. Pinpoints are not shown.,Light,None,None,Light,None,None,None,33,12.5,41.6,44,1.70-1.79,India,352,0.6,1105.2,-2.5,,1
14968398,5516583258,41100-33,Round,1.71,E,VS2,EX,EX,EX,None,GIA,Brown,None,11000,18810,-39,6710,11474,32,2,10,3,1,1,7.65 x 7.60 x 4.78,1.01,57,62.7,"crystal, needle, pinpoint",Additional pinpoints are not shown. Surface graining is not shown.,V Light,V Light,Light,V Light,None,None,None,34.5,15,41.2,44,1.70-1.79,India,352,0.6,1105.2,-2.5,,1
14732271,7516384263,41052-13,Round,1.7,E,VS2,EX,EX,EX,None,GIA,None,None,11000,18700,-37,6930,11781,67,2,9,3,1,1,7.65 x 7.61 x 4.75,1.01,59,62.3,"feather, crystal, needle, pinpoint",Additional pinpoints are not shown.,Light,None,Light,Light,None,None,None,33.5,13.5,41.8,44.5,1.70-1.79,India,352,0.6,1105.2,-2.5,,1
14968395,1518583281,41104-17,Round,1.7,F,VVS2,EX,EX,EX,Strong,GIA,None,None,13200,22440,-50,6600,11221,32,1,9,1,2,3,7.81 x 7.77 x 4.62,1.01,62,59.3,pinpoint,"Additional pinpoints, clouds, internal graining and surface graining are not shown.",V Light,None,V Light,V Light,None,None,None,33,12,41.4,44,1.70-1.79,India,250,3.8,72.9,1,needs,2.5
14732283,6512433793,41053-76,Round,1.76,F,VS1,EX,EX,EX,None,GIA,None,None,11400,20064,-30,7980,14046,67,5,6,1,0,1,7.69 x 7.64 x 4.79,1.01,57,62.5,"cloud, crystal, feather",Additional clouds are not shown. Pinpoints are not shown.,Light,None,Light,Light,None,None,None,36,15.5,40.6,43,1.70-1.79,India,289,4,74.7,1.5,needs,1
15276353,2517857101,41137-204,Round,1.7,F,VS2,EX,EX,EX,None,GIA,None,None,10300,17510,-30,7210,12257,3,10,13,1,1,2,7.62 x 7.57 x 4.78,1.01,55,62.9,"cloud, feather, needle, indented_natural",Additional clouds are not shown. Pinpoints are not shown.,None,None,Light,Light,None,N/A,V Light,36.5,16.5,40.6,42.5,1.70-1.79,India,500,2.3,128.4,0.5,,1
14732261,1517408300,41053-62,Round,1.7,G,VS2,EX,EX,EX,None,GIA,None,None,8900,15130,-35,5785,9835,67,3,11,2,2,3,7.60 x 7.55 x 4.74,1.01,58,62.6,"crystal, cloud, feather",-,Light,None,Light,Light,None,Light,Light,36,15.5,40.8,43,1.70-1.79,India,745,3.4,119,1,needs,3
14459524,6515146382,41025-23,Round,1.7,G,VS2,EX,EX,EX,None,GIA,None,None,8900,15130,-34,5874,9986,111,4,11,2,2,3,7.60 x 7.55 x 4.78,1.01,57,63,"feather, cloud",Pinpoints are not shown.,V Light,None,Light,Light,None,None,None,36.5,16,41,43.5,1.70-1.79,India,745,3.4,119,1,needs,3
14767734,7512478720,41082-28,Round,1.61,D,VVS1,EX,EX,EX,None,GIA,None,None,18700,30107,-40,11220,18064,60,20,26,1,2,2,7.47 x 7.43 x 4.64,1.01,58,62.3,pinpoint,-,None,None,V Light,V Light,None,None,None,36,15.5,40.6,43,1.50-1.69,India,117,3.1,51.6,3,needs,17.5
14767726,6512478863,41082-32,Round,1.61,D,VVS2,EX,EX,EX,None,GIA,None,None,15400,24794,-40,9241,14877,60,20,21,2,0,2,7.50 x 7.46 x 4.59,1.01,59,61.4,"pinpoint, needle",Surface graining is not shown.,None,None,V Light,V Light,None,None,None,35,14.5,40.8,43,1.50-1.69,India,182,2.4,192.1,0,,17.5
