Category,Item Id,Cert Number,Stock Num,Shape,Carat,Carat Range,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales
Round | 1.70 - 1.99 | E | VS2,14968398,5516583258,41100-33,Round,1.71,1.70 - 1.99,E,VS2,EX,EX,EX,None,GIA,Brown,None,11000,18810,-39,6710,11474,34,2,9,3,1,1
Round | 1.70 - 1.99 | E | VS2,12840683,6492388870,31098-184,Round,1.71,1.70 - 1.99,E,VS2,EX,EX,EX,None,GIA,None,None,11000,18810,-40,6600,11286,344,1,8,3,1,1
Round | 1.70 - 1.99 | F | VVS2,14968395,1518583281,41104-17,Round,1.7,1.70 - 1.99,F,VVS2,EX,EX,EX,Strong,GIA,None,None,13200,22440,-50,6600,11221,34,1,11,1,2,3
Round | 1.50 - 1.69 | D | VS2,14812680,1517524309,41090-33,Round,1.58,1.50 - 1.69,D,VS2,EX,EX,EX,None,GIA,None,None,12000,18960,-41,7080,11186,55,16,23,3,0,1
Round | 1.00 - 1.19 | D | IF,14968393,7511626029,41124-52,Round,1.09,1.00 - 1.19,D,IF,EX,EX,EX,None,GIA,None,None,16000,17440,-38,9921,10814,34,4,9,2,1,1
Round | 1.70 - 1.99 | E | VS1,14968391,7511622759,41102-20,Round,1.7,1.70 - 1.99,E,VS1,EX,EX,EX,Strong,GIA,None,None,12200,20740,-48,6344,10785,34,2,12,2,1,1
Round | 1.50 - 1.69 | D | VS2,14968392,1513622773,41110-24,Round,1.54,1.50 - 1.69,D,VS2,EX,EX,EX,None,GIA,None,None,12000,18480,-42,6960,10719,34,9,23,3,0,1
Round | 1.70 - 1.99 | G | VS2,14459524,6515146382,41025-23,Round,1.7,1.70 - 1.99,G,VS2,EX,EX,EX,None,GIA,None,None,8900,15130,-34,5874,9986,113,3,11,2,1,3
Round | 1.70 - 1.99 | G | VS2,14732261,1517408300,41053-62,Round,1.7,1.70 - 1.99,G,VS2,EX,EX,EX,None,GIA,None,None,8900,15130,-35,5786,9836,69,2,11,2,1,3
Round | 1.50 - 1.69 | F | VS2,14968376,6511656322,41138-1,Round,1.5,1.50 - 1.69,F,VS2,EX,EX,EX,None,GIA,None,None,10300,15450,-39,6284,9426,34,19,26,2,3,5
Round | 1.20 - 1.49 | F | VVS1,15084417,6512769377,41137-121,Round,1.3,1.20 - 1.49,F,VVS1,EX,EX,EX,None,GIA,None,None,9700,12610,-26,7178,9332,27,12,19,1,0,2
Round | 1.50 - 1.69 | H | IF,14812679,5516567559,41094-12,Round,1.5,1.50 - 1.69,H,IF,EX,EX,EX,None,GIA,None,None,10800,16200,-44,6048,9072,55,3,19,1,0,0
Round | 1.50 - 1.69 | D | VS2,14968371,6511619501,41107-22,Round,1.5,1.50 - 1.69,D,VS2,EX,EX,EX,Faint,GIA,None,None,12000,18000,-50,6000,9000,34,2,23,3,0,1
Round | 1.00 - 1.19 | D | VVS1,15178300,3515832468,41137-194,Round,1.15,1.00 - 1.19,D,VVS1,EX,EX,EX,None,GIA,None,None,12800,14720,-40,7681,8833,13,8,11,3,0,0
Round | 1.50 - 1.69 | F | VS2,15084415,2516571706,41108-34,Round,1.5,1.50 - 1.69,F,VS2,EX,EX,EX,None,GIA,None,None,10300,15450,-43,5872,8808,27,9,26,2,3,5
Round | 1.00 - 1.19 | D | VVS1,14968364,1513722362,41137-69,Round,1.15,1.00 - 1.19,D,VVS1,EX,EX,EX,None,GIA,None,None,12800,14720,-41,7552,8685,34,4,10,2,1,1
Round | 1.00 - 1.19 | D | IF,14968366,2516592630,41101-23,Round,1.08,1.00 - 1.19,D,IF,EX,EX,EX,Faint,GIA,None,None,16000,17280,-50,8001,8641,34,1,11,2,1,1
